Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-03,-5,0.0026441036,0.0086345845
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-04,-4,-0.001465073,-0.001183528
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-05,-3,-0.017019778,-0.016486368
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-06,-2,-0.011881306,-0.007122165
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-09,-1,-0.005740181,-0.009124669
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-10,0,-0.00066849,-0.002122014
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-11,1,-0.018973486,-0.022218048
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-12,2,0.0135755021,0.011002579
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-13,3,0.0217112103,0.019418137
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-16,4,0.0001197175,-0.000662167
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-17,5,0.0141848216,0.0135988321
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-21,-5,-0.024080108,-0.018671548
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-22,-4,0.0135993485,0.0138538906
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-26,-3,0.0384831686,0.0336888764
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-27,-2,0.0653721182,0.0589474733
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-28,-1,-0.057076465,-0.053245665
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-29,0,-0.009395456,-0.010876451
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-01,1,0.0192801057,0.0182724392
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-02,2,-0.018076424,-0.020661852
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-03,3,0.0208948268,0.0151538782
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-04,4,0.0125542114,0.0160168668
Market Model,10026,10026-29MAY2020,2020-05-29,2020-06-05,5,0.049293658,0.0378201788
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-26,-5,-0.003130435,-0.002501612
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-29,-4,-0.007763433,-0.017688013
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-30,-3,0.0036043956,0.0055675569
Market Model,10104,10104-02FEB2024,2024-02-02,2024-01-31,-2,-0.021548704,-0.000055683
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-01,-1,0.0342882722,0.0197541608
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-02,0,0.0022504977,-0.00937233
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-05,1,0.0051817946,0.0106627567
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-06,2,-0.009365066,-0.012254043
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-07,3,0.017085863,0.0081317115
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-08,4,-0.005031125,-0.007192282
Market Model,10104,10104-02FEB2024,2024-02-02,2024-02-09,5,-0.000342818,-0.007841328
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-03,-5,-0.002564885,-0.002674841
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-04,-4,0.0034286414,0.0065345892
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-07,-3,0.0071084264,-0.00375817
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-08,-2,-0.012298931,-0.009303876
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-09,-1,-0.011715994,-0.005283251
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-10,0,0.0021723614,-0.000155458
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-11,1,-0.005945561,-0.006942662
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-14,2,0.0094389583,0.0015664788
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-15,3,-0.006727564,0.0041409077
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-16,4,-0.002423414,0.0043420097
Market Model,10107,10107-10AUG2023,2023-08-10,2023-08-17,5,-0.010986267,-0.003555484
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-12,-5,0.0091778203,-0.001396678
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-13,-4,-0.021599091,0.0088078903
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-14,-3,0.0284663052,0.0066158373
Market Model,10107,10107-20JAN2016,2016-01-20,2016-01-15,-2,-0.039917153,-0.015936262
