Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10026,10026-10SEP2024,2024-09-10,2024-08-26,-10,-0.005893208,-0.005423677
Market Model,10026,10026-10SEP2024,2024-09-10,2024-08-27,-9,0.0186826347,0.0181997836
Market Model,10026,10026-10SEP2024,2024-09-10,2024-08-28,-8,-0.018633905,-0.017382934
Market Model,10026,10026-10SEP2024,2024-09-10,2024-08-29,-7,0.0064690027,0.0059373115
Market Model,10026,10026-10SEP2024,2024-09-10,2024-08-30,-6,0.0128548473,0.0101009326
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-03,-5,0.0026441036,0.0078022817
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-04,-4,-0.001465073,-0.001288583
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-05,-3,-0.017019778,-0.016623508
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-06,-2,-0.011881306,-0.00779761
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-09,-1,-0.005740181,-0.008762716
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-10,0,-0.00066849,-0.002006042
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-11,1,-0.018973486,-0.021873921
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-12,2,0.0135755021,0.011261148
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-13,3,0.0217112103,0.0196410567
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-16,4,0.0001197175,-0.000631754
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-17,5,0.0141848216,0.0136042904
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-18,6,-0.001304322,-0.001054572
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-19,7,0.0059958445,0.0013127466
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-20,8,-0.008084504,-0.007785914
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-23,9,0.0063656375,0.0054920657
Market Model,10026,10026-10SEP2024,2024-09-10,2024-09-24,10,0.0033104753,0.0023636434
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-14,-10,-0.032390583,-0.033059518
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-15,-9,-0.012410189,-0.01196776
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-18,-8,0.0484457672,0.0437720889
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-19,-7,-0.029806024,-0.026336086
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-20,-6,0.0226755527,0.0207611233
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-21,-5,-0.024080108,-0.021185013
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-22,-4,0.0135993485,0.0146166211
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-26,-3,0.0384831686,0.0376609419
Market Model,10026,10026-29MAY2020,2020-05-29,2020-05-27,-2,0.0653721182,0.0639558865
