Model,permno,uid,evtdate,date,evttime,ret,abret
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-11,-2,-0.019409938,-0.0169442
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-12,-1,0.004354711,0.0049761337
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-13,0,-0.002759164,-0.005968242
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-14,1,0.0387351779,0.0213390609
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-15,2,-0.005327245,-0.009103804
Market Model,10302,10302-13MAY2015,2015-05-13,2015-05-18,3,0.0244835501,0.0151740454
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-21,-3,0.0067681895,-0.015092804
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-22,-2,-0.000840336,-0.015158129
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-23,-1,-0.009251472,-0.000221265
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-26,0,-0.008488964,0.0055700421
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-27,1,0.0154109589,0.0021707657
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-28,2,0.0085106383,-0.003292755
Market Model,10302,10302-26SEP2016,2016-09-26,2016-09-29,3,0.011814346,0.0276693525
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-05,-3,0.0301274623,0.0123902311
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-08,-2,0.0067491564,-0.000221071
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-09,-1,-0.03575419,-0.022033046
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-10,0,-0.05967555,-0.048856816
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-11,1,-0.108441158,-0.047438824
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-12,2,-0.018659295,-0.025067766
Market Model,10363,10363-10JUN2020,2020-06-10,2020-06-15,3,-0.012676056,-0.017118379
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-06,-3,0.0034005344,0.0021359739
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-07,-2,0.0031545741,0.0030785337
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-10,-1,0.0667634253,0.0679749482
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-11,0,-0.022675737,-0.016214917
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-12,1,0.0160092807,0.0150418503
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-13,2,-0.00867778,0.0036265965
Market Model,10382,10382-11MAR2014,2014-03-11,2014-03-14,3,0.0071412117,0.009046038
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-09,-3,0.0013969732,-0.007548179
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-10,-2,-0.019762846,-0.015545938
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-13,-1,0.0042694497,-0.005739303
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-14,0,0.0106282475,0.0111225527
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-15,1,-0.012152372,-0.014582969
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-16,2,0.0227111427,0.0107081381
Market Model,10382,10382-14JAN2020,2020-01-14,2020-01-17,3,-0.0055517,-0.009577699
Market Model,10516,10516-01OCT2014,2014-10-01,2014-09-26,-3,0.007725832,0.0013596937
Market Model,10516,10516-01OCT2014,2014-10-01,2014-09-29,-2,0.0084529192,0.0082210587
Market Model,10516,10516-01OCT2014,2014-10-01,2014-09-30,-1,-0.003898635,-0.003098561
Market Model,10516,10516-01OCT2014,2014-10-01,2014-10-01,0,-0.01369863,-0.007222916
Market Model,10516,10516-01OCT2014,2014-10-01,2014-10-02,1,0.0025793651,0.000168976
Market Model,10516,10516-01OCT2014,2014-10-01,2014-10-03,2,0.0114783297,0.0037362786
Market Model,10516,10516-01OCT2014,2014-10-01,2014-10-06,3,-0.010174134,-0.010176676
Market Model,10516,10516-05AUG2020,2020-08-05,2020-07-31,-3,-0.012223247,-0.016550835
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-03,-2,0.002334812,-0.005374323
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-04,-1,-0.004891684,-0.006803881
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-05,0,0.0145131086,0.0086396705
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-06,1,0.0048454084,0.0013873613
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-07,2,0.011021814,0.0124911645
Market Model,10516,10516-05AUG2020,2020-08-05,2020-08-10,3,0.0104474222,0.0098878442
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-23,-3,0.0174485787,0.0151769813
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-24,-2,0.0067007382,0.0022270453
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-25,-1,0.0256092058,0.0164670702
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-26,0,-0.014849852,-0.002763786
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-29,1,0.0133988388,0.0137697561
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-30,2,-0.035147642,-0.033015048
Market Model,10516,10516-26AUG2022,2022-08-26,2022-08-31,3,0.0036542195,0.0042013045
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-11,-3,-0.004435168,-0.005480823
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-12,-2,-0.002096436,-0.003034801
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-13,-1,0.0196953782,0.0049166882
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-14,0,0.0260108164,0.0221756391
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-17,1,-0.022841365,-0.016376766
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-18,2,0.0028255844,0.0063933715
Market Model,10606,10606-14SEP2012,2012-09-14,2012-09-19,3,0.0023053279,0.0023325668
