WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
8911,Willamette Falls Paper Company,West Linn,OR,08/09/2024,158,Large Layoff - 10 or more workers,08/06/2024
8892,Walker Rd - Hillsboro,Hillsboro,OR,12/28/2024,37,Large Layoff - 10 or more workers,07/23/2024
8892,Walker Rd - Hillsboro,Hillsboro,OR,11/16/2024,16,Large Layoff - 10 or more workers,07/23/2024
8892,Walker Rd - Hillsboro,Hillsboro,OR,10/19/2024,1,Reduction,07/23/2024
8892,Walker Rd - Hillsboro,Hillsboro,OR,10/04/2024,2,Reduction,07/23/2024
8892,Walker Rd - Hillsboro,Hillsboro,OR,09/20/2024,95,Permanent closure,07/23/2024
8880,Hazelnut Growers of Oregon,Aurora,OR,12/27/2024,4,Permanent closure,07/02/2024
8880,Hazelnut Growers of Oregon,Aurora,OR,08/01/2024,65,Large Layoff - 10 or more workers,07/02/2024
8876,OHSU,Portland,OR,08/30/2024,297,Large Layoff - 10 or more workers,07/01/2024
8859,OHSU,Portland,OR,08/09/2024,142,Large Layoff - 10 or more workers,06/07/2024
8850,Oregon - Remote Employees,Portland,OR,07/31/2024,37,Large Layoff - 10 or more workers,05/29/2024
8847,"Campbell Soup Supply Company, LLC",Tualatin,OR,07/26/2026,200,Large Layoff - 10 or more workers,05/28/2024
8847,"Campbell Soup Supply Company, LLC",Tualatin,OR,01/31/2025,10,Large Layoff - 10 or more workers,05/28/2024
8847,"Campbell Soup Supply Company, LLC",Tualatin,OR,08/02/2024,120,Large Layoff - 10 or more workers,05/28/2024
8832,Lignetics,Cascade Locks,OR,07/10/2024,5,Reduction,05/10/2024
8832,Lignetics,Cascade Locks,OR,04/19/2024,1,Reduction,05/10/2024
8832,Lignetics,Cascade Locks,OR,03/15/2024,2,Reduction,05/10/2024
8817,Multnomah University,Portland,OR,06/30/2024,88,Large Layoff - 10 or more workers,05/07/2024
8800,Portland Manufacturing Site,Portland,OR,06/28/2024,75,Large Layoff - 10 or more workers,04/22/2024
8794,"NIKE, Inc.",Beaverton,OR,06/28/2024,740,Reduction,04/19/2024
8782,"Block, Inc.",Oakland,CA,06/03/2024,20,Large Layoff - 10 or more workers,04/02/2024
8781,"Volta Charging Industries, LLC",San Francisco,CA,05/31/2024,171,Permanent closure,03/29/2024
8776,"Osso VR, Inc.",San Francisco,CA,05/27/2024,67,Large Layoff - 10 or more workers,03/28/2024
8773,"Bionano Genomics, Inc.",San Diego,CA,05/24/2024,76,Reduction,03/21/2024
8769,"Bornstein Seafoods, Inc - Newport Facil",Newport,OR,05/21/2024,50,Permanent closure,03/22/2024
8760,Adventist Health of Tillamook,Tillamook,OR,05/05/2024,22,Reduction,03/07/2024
8759,Wieden + Kennedy,Portland,OR,03/01/2024,87,Reduction,02/23/2024
8747,Portland Day Sort,Portland,OR,04/19/2024,350,Large Layoff - 10 or more workers,02/13/2024
8742,Interfor U.S. Inc,Philomath,OR,02/15/2024,42,Large Layoff - 10 or more workers,02/15/2024
8742,Philomath Division - Industrial Way Mil,Philomath,OR,02/15/2024,58,Large Layoff - 10 or more workers,02/15/2024
8725,Remote Workers - Oregon,,OR,03/30/2024,46,Large Layoff - 10 or more workers,01/30/2024
8723,RNDC - Eugene Location,Eugene,OR,03/31/2024,3,Permanent closure,01/30/2024
8723,RNDC - Portland Location,Portland,OR,03/31/2024,67,Permanent closure,01/30/2024
8723,RNDC - Bend Location,Bend,OR,03/31/2024,4,Permanent closure,01/30/2024
8723,RNDC - Medford Location #1,Medford,OR,03/31/2024,1,Permanent closure,01/30/2024
8723,RNDC - Medford Location #2,Medford,OR,03/31/2024,3,Permanent closure,01/30/2024
8708,Oregon - Remote Employees,,OR,03/15/2024,4,Reduction,01/11/2024
8708,"Lost Boys Interactive, LLC",Madison,WI,03/15/2024,121,Large Layoff - 10 or more workers,01/11/2024
