WARN#,Company Name,City,State,Layoff Date,Laid Off,Layoff Type,Received Date
8617,Walker Rd - Hillsboro,Hillsboro,OR,01/12/2024,62,Large Layoff - 10 or more workers,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,01/12/2024,3,Reduction,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,12/29/2023,2,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,12/29/2023,3,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,12/01/2023,1,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,11/17/2023,1,Reduction,08/22/2023
8617,Walker Rd - Hillsboro,Hillsboro,OR,10/20/2023,158,Large Layoff - 10 or more workers,08/22/2023
8617,Bennett St. - Hillsboro,Hillsboro,OR,10/20/2023,71,Large Layoff - 10 or more workers,08/22/2023
8596,DC-25 Portland Distribution Center,Portland,OR,11/03/2023,23,Large Layoff - 10 or more workers,07/31/2023
8596,DC-25 Portland Distribution Center,Portland,OR,10/06/2023,78,Large Layoff - 10 or more workers,07/31/2023
8583,"PBS West, LLC",Corvallis,OR,09/06/2023,50,Large Layoff - 10 or more workers,07/07/2023
8578,"Jacksonville, Remote Employee Location",Jacksonville,OR,06/14/2023,1,Large Layoff - 10 or more workers,06/14/2023
8577,Owens-Brockway Glass Container Inc.,Portland,OR,07/21/2023,81,Reduction,06/13/2023
8572,Aimbridge Employee Service Corp AKA Val,Eugene,OR,06/29/2023,62,Large Layoff - 10 or more workers,06/06/2023
8563,Aspiration Partners,Marina Del Rey,CA,06/30/2023,3,Large Layoff - 10 or more workers,05/24/2023
8556,Cascades Tissue Group - St Helens Paper,St. Helens,OR,07/08/2023,45,Large Layoff - 10 or more workers,05/09/2023
8534,"Aspiration Partners, Inc",Marina Del Rey,CA,05/26/2023,12,Large Layoff - 10 or more workers,03/24/2023
8482,Railcar Manufacturing Operations,Portland,OR,03/21/2023,101,Large Layoff - 10 or more workers,01/20/2023
8475,Specialized Bicycle Components,Morgan Hill,CA,01/13/2023,7,Reduction,01/11/2023
8438,BayFirst Financial,St. Petersburg,FL,11/25/2022,58,Large Layoff - 10 or more workers,09/23/2022
8437,"Laird Superfood, Inc",Sisters,OR,12/12/2022,46,Large Layoff - 10 or more workers,10/12/2022
8435,"Beauty Systems Group, LLC, DBA CosmoPro",Clackamas,OR,12/16/2022,60,Large Layoff - 10 or more workers,10/11/2022
8424,DENNIS Uniform,Portland,OR,11/01/2022,71,Large Layoff - 10 or more workers,08/30/2022
8356,"ARS-Fresno, LLC.",Carlsbad,CA,05/31/2022,163,Large Layoff - 10 or more workers,03/30/2022
8068,PERFORMANT,Grants Pass,OR,04/25/2021,60,Reduction,02/26/2021
